金融信息_贷款利率_贷款利率(1985-07-22-2015-10-24)_宏观数据_新浪财经

利率执行日期, 利率名称, 年利率(%), 
2007-09-15, 中长期贷款(五年以上), 7.83, 
2007-09-15, 中长期贷款(一至三年), 7.47, 
2007-09-15, 贴现(贴现), , 
2007-09-15, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-09-15, 优惠贷款(老少边穷发展经济贷款), 4.41, 
2007-09-15, 优惠贷款(民政部门福利工厂贷款), 5.85, 
2007-09-15, 优惠贷款(民族贸易及民族用品生产贷款), 4.41, 
2007-09-15, 优惠贷款(贫困县办工业贷款), 4.41, 
2007-09-15, 个人住房商业贷款(六个月以内), 5.83, 
2007-09-15, 个人住房商业贷款(六个月至一年), 6.56, 
2007-09-15, 个人住房商业贷款(三至五年), 6.88, 
2007-09-15, 个人住房商业贷款(五年以上), 7.05, 
2007-09-15, 个人住房商业贷款(一至三年), 6.72, 
2007-09-15, 个人住房公积金贷款(五年以上), 5.22, 
2007-09-15, 个人住房公积金贷款(五年以下), 4.77, 
2007-08-22, 短期贷款(六个月以内), 6.21, 
2007-08-22, 短期贷款(六个月至一年), 7.02, 
2007-08-22, 中长期贷款(三至五年), 7.38, 
2007-08-22, 中长期贷款(五年以上), 7.56, 
2007-08-22, 中长期贷款(一至三年), 7.20, 
2007-08-22, 贴现(贴现), , 
2007-08-22, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-08-22, 优惠贷款(老少边穷发展经济贷款), 4.14, 
2007-08-22, 优惠贷款(民政部门福利工厂贷款), 5.58, 
2007-08-22, 优惠贷款(民族贸易及民族用品生产贷款), 4.14, 
2007-08-22, 优惠贷款(贫困县办工业贷款), 4.14, 
2007-08-22, 个人住房商业贷款(六个月以内), 5.59, 
2007-08-22, 个人住房商业贷款(六个月至一年), 6.32, 
2007-08-22, 个人住房商业贷款(三至五年), 6.64, 
2007-08-22, 个人住房商业贷款(五年以上), 6.80, 
2007-08-22, 个人住房商业贷款(一至三年), 6.48, 
2007-08-22, 个人住房公积金贷款(五年以上), 5.04, 
2007-08-22, 个人住房公积金贷款(五年以下), 4.59, 
2007-07-21, 短期贷款(六个月以内), 6.03, 
2007-07-21, 短期贷款(六个月至一年), 6.84, 
2007-07-21, 中长期贷款(三至五年), 7.20, 
2007-07-21, 中长期贷款(五年以上), 7.38, 
2007-07-21, 中长期贷款(一至三年), 7.02, 
2007-07-21, 贴现(贴现), , 
2007-07-21, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-07-21, 优惠贷款(老少边穷发展经济贷款), 3.96, 
2007-07-21, 优惠贷款(民政部门福利工厂贷款), 5.40, 
2007-07-21, 优惠贷款(民族贸易及民族用品生产贷款), 3.96, 
2007-07-21, 优惠贷款(贫困县办工业贷款), 3.96, 
2007-07-21, 个人住房商业贷款(六个月以内), 5.43, 
2007-07-21, 个人住房商业贷款(六个月至一年), 6.16, 
2007-07-21, 个人住房商业贷款(三至五年), 6.48, 
2007-07-21, 个人住房商业贷款(五年以上), 6.64, 
2007-07-21, 个人住房商业贷款(一至三年), 6.32, 
2007-07-21, 个人住房公积金贷款(五年以上), 4.95, 
2007-07-21, 个人住房公积金贷款(五年以下), 4.50, 
2007-05-19, 短期贷款(六个月以内), 5.85, 
2007-05-19, 短期贷款(六个月至一年), 6.57, 
2007-05-19, 中长期贷款(三至五年), 6.93, 
2007-05-19, 中长期贷款(五年以上), 7.20, 
2007-05-19, 中长期贷款(一至三年), 6.75, 
2007-05-19, 贴现(贴现), , 
2007-05-19, 优惠贷款(成套和高技术含量), 3.51, 
2007-05-19, 优惠贷款(低技术含量和一般产品), 4.23, 
2007-05-19, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-05-19, 优惠贷款(广深珠高速公路贷款), 3.87, 
2007-05-19, 优惠贷款(老少边穷发展经济贷款), 3.69, 
2007-05-19, 优惠贷款(民政部门福利工厂贷款), 5.13, 
2007-05-19, 优惠贷款(民族贸易及民族用品生产贷款), 3.69, 
2007-05-19, 优惠贷款(贫困县办工业贷款), 3.69, 
2007-05-19, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2007-05-19, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2007-05-19, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2007-05-19, 优惠贷款(中国进出口银行出口卖方信贷), , 
2007-05-19, 个人住房商业贷款(六个月以内), 5.26, 
2007-05-19, 个人住房商业贷款(六个月至一年), 5.91, 
2007-05-19, 个人住房商业贷款(三至五年), 6.24, 
2007-05-19, 个人住房商业贷款(五年以上), 6.48, 
2007-05-19, 个人住房商业贷款(一至三年), 6.08, 
2007-05-19, 个人住房公积金贷款(五年以上), 4.86, 
2007-05-19, 个人住房公积金贷款(五年以下), 4.41, 
2007-05-19, 流动资产贷款(流动资产贷款利率), , 
2007-03-18, 短期贷款(六个月以内), 5.67, 
2007-03-18, 短期贷款(六个月至一年), 6.39, 
2007-03-18, 中长期贷款(三至五年), 6.75, 
2007-03-18, 中长期贷款(五年以上), 7.11, 
2007-03-18, 中长期贷款(一至三年), 6.57, 
2007-03-18, 贴现(贴现), , 
2007-03-18, 优惠贷款(成套和高技术含量), 3.51, 
2007-03-18, 优惠贷款(低技术含量和一般产品), 4.23, 
2007-03-18, 优惠贷款(扶贫贴息贷款), 3.00, 
2007-03-18, 优惠贷款(广深珠高速公路贷款), 3.87, 
2007-03-18, 优惠贷款(老少边穷发展经济贷款), 3.51, 
2007-03-18, 优惠贷款(民政部门福利工厂贷款), 4.95, 
2007-03-18, 优惠贷款(民族贸易及民族用品生产贷款), 3.51, 
2007-03-18, 优惠贷款(贫困县办工业贷款), 3.51, 
2007-03-18, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2007-03-18, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2007-03-18, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2007-03-18, 优惠贷款(中国进出口银行出口卖方信贷), , 
2007-03-18, 个人住房商业贷款(六个月以内), 5.10, 
2007-03-18, 个人住房商业贷款(六个月至一年), 5.75, 
2007-03-18, 个人住房商业贷款(三至五年), 6.08, 
2007-03-18, 个人住房商业贷款(五年以上), 6.40, 
2007-03-18, 个人住房商业贷款(一至三年), 5.91, 
2007-03-18, 个人住房公积金贷款(五年以上), 4.77, 
2007-03-18, 个人住房公积金贷款(五年以下), 4.32, 
2007-03-18, 流动资产贷款(流动资产贷款利率), , 
2006-08-19, 短期贷款(六个月以内), 5.58, 
2006-08-19, 短期贷款(六个月至一年), 6.12, 
2006-08-19, 中长期贷款(三至五年), 6.48, 
2006-08-19, 中长期贷款(五年以上), 6.84, 
2006-08-19, 中长期贷款(一至三年), 6.30, 
2006-08-19, 贴现(贴现), , 
2006-08-19, 优惠贷款(成套和高技术含量), 3.51, 
2006-08-19, 优惠贷款(低技术含量和一般产品), 4.23, 
2006-08-19, 优惠贷款(扶贫贴息贷款), 3.00, 
